Entity,Code,Year,share_neet,Continent,HDI
Singapore,SGP,2015,3.6,Asia,0.935
Singapore,SGP,2016,4.1,Asia,0.934
Singapore,SGP,2017,4.5,Asia,0.935
Singapore,SGP,2018,4.3,Asia,0.939
Singapore,SGP,2019,4.13,Asia,0.942
Singapore,SGP,2020,4.46,Asia,0.944
Slovakia,SVK,2003,19.97,Europe,0.796
Slovakia,SVK,2004,19.45,Europe,0.806
Slovakia,SVK,2005,16.86,Europe,0.815
Slovakia,SVK,2006,13.92,Europe,0.824
Slovakia,SVK,2007,11.63,Europe,0.834
Slovakia,SVK,2008,11.43,Europe,0.842
Slovakia,SVK,2009,12.96,Europe,0.845
Slovakia,SVK,2010,14.57,Europe,0.851
Slovakia,SVK,2011,14.31,Europe,0.856
Slovakia,SVK,2012,14.37,Europe,0.856
Slovakia,SVK,2013,14.26,Europe,0.858
Slovakia,SVK,2014,14.07,Europe,0.859
Slovakia,SVK,2015,13.97,Europe,0.861
Slovakia,SVK,2016,12.69,Europe,0.864
Slovakia,SVK,2017,12.33,Europe,0.865
Slovakia,SVK,2018,10.41,Europe,0.868
Slovakia,SVK,2019,10.48,Europe,0.871
Slovakia,SVK,2020,10.75,Europe,0.867
Slovenia,SVN,2003,8,Europe,0.865
Slovenia,SVN,2004,7.73,Europe,0.87
Slovenia,SVN,2005,8.93,Europe,0.876
Slovenia,SVN,2006,8.52,Europe,0.883
Slovenia,SVN,2007,6.7,Europe,0.888
Slovenia,SVN,2008,6.5,Europe,0.894
Slovenia,SVN,2009,7.46,Europe,0.894
Slovenia,SVN,2010,7.11,Europe,0.896
Slovenia,SVN,2011,7.08,Europe,0.897
Slovenia,SVN,2012,9.28,Europe,0.897
Slovenia,SVN,2013,9.24,Europe,0.907
Slovenia,SVN,2014,9.42,Europe,0.907
Slovenia,SVN,2015,9.51,Europe,0.909
Slovenia,SVN,2016,8.03,Europe,0.914
Slovenia,SVN,2017,6.52,Europe,0.918
Slovenia,SVN,2018,6.62,Europe,0.922
Slovenia,SVN,2019,7.03,Europe,0.923
Slovenia,SVN,2020,7.68,Europe,0.918
Solomon Islands,SLB,2013,7.04,Oceania,0.576
Somalia,SOM,2019,43.73,Africa,NA
South Africa,ZAF,2000,31.79,Africa,0.618
South Africa,ZAF,2001,34.65,Africa,0.613
South Africa,ZAF,2002,35.69,Africa,0.614
South Africa,ZAF,2003,36.58,Africa,0.61
South Africa,ZAF,2004,35.39,Africa,0.613
South Africa,ZAF,2005,34.42,Africa,0.616
South Africa,ZAF,2006,33.38,Africa,0.622
South Africa,ZAF,2007,32.63,Africa,0.632
South Africa,ZAF,2013,30.34,Africa,0.705
South Africa,ZAF,2014,29.93,Africa,0.713
South Africa,ZAF,2015,28.97,Africa,0.722
South Africa,ZAF,2016,29.31,Africa,0.722
South Africa,ZAF,2017,28.88,Africa,0.726
South Africa,ZAF,2018,29.6,Africa,0.732
South Africa,ZAF,2019,30.57,Africa,0.742
South Africa,ZAF,2020,29.88,Africa,0.724
Spain,ESP,2003,11.69,Europe,0.846
Spain,ESP,2004,11.76,Europe,0.852
Spain,ESP,2005,12.96,Europe,0.857
Spain,ESP,2006,11.83,Europe,0.862
Spain,ESP,2007,12.03,Europe,0.864
Spain,ESP,2008,14.25,Europe,0.865
Spain,ESP,2009,18.09,Europe,0.867
Spain,ESP,2010,17.81,Europe,0.875
Spain,ESP,2011,18.25,Europe,0.879
Spain,ESP,2012,18.6,Europe,0.881
Spain,ESP,2013,18.63,Europe,0.886
Spain,ESP,2014,17.14,Europe,0.89
Spain,ESP,2015,15.64,Europe,0.895
Spain,ESP,2016,14.62,Europe,0.9
Spain,ESP,2017,13.32,Europe,0.902
Spain,ESP,2018,12.45,Europe,0.905
Spain,ESP,2019,12.13,Europe,0.91
Spain,ESP,2020,13.88,Europe,0.901
Sri Lanka,LKA,2010,26.68,Asia,0.748
Sri Lanka,LKA,2011,26.52,Asia,0.753
Sri Lanka,LKA,2013,27.46,Asia,0.764
Sri Lanka,LKA,2014,28.8,Asia,0.767
Sri Lanka,LKA,2015,26.63,Asia,0.769
Sri Lanka,LKA,2016,27.09,Asia,0.772
Sri Lanka,LKA,2017,24.72,Asia,0.777
Sri Lanka,LKA,2018,24.18,Asia,0.782
Sri Lanka,LKA,2019,21.21,Asia,0.781
Sri Lanka,LKA,2020,21.51,Asia,0.78
Sudan,SDN,2011,33.09,Africa,0.476
Suriname,SUR,2016,18.19,South America,0.716
Sweden,SWE,2003,6.51,Europe,0.923
Sweden,SWE,2004,7.88,Europe,0.908
Sweden,SWE,2005,14.16,Europe,0.911
Sweden,SWE,2006,9.34,Europe,0.915
Sweden,SWE,2007,7.48,Europe,0.917
Sweden,SWE,2008,7.82,Europe,0.913
Sweden,SWE,2009,9.6,Europe,0.912
Sweden,SWE,2010,7.67,Europe,0.918
Sweden,SWE,2011,7.53,Europe,0.92
Sweden,SWE,2012,7.83,Europe,0.92
Sweden,SWE,2013,7.44,Europe,0.94
Sweden,SWE,2014,7.16,Europe,0.943
Sweden,SWE,2015,6.72,Europe,0.945
Sweden,SWE,2016,6.48,Europe,0.947
Sweden,SWE,2017,6.15,Europe,0.949
Sweden,SWE,2018,6.02,Europe,0.95
Sweden,SWE,2019,5.48,Europe,0.955
Sweden,SWE,2020,6.46,Europe,0.951
Switzerland,CHE,2000,5.76,Europe,0.892
Switzerland,CHE,2001,6.24,Europe,0.895
Switzerland,CHE,2002,6.7,Europe,0.896
Switzerland,CHE,2003,8.63,Europe,0.901
Switzerland,CHE,2004,7.98,Europe,0.906
Switzerland,CHE,2005,8.67,Europe,0.909
Switzerland,CHE,2006,8.57,Europe,0.918
Switzerland,CHE,2007,7.86,Europe,0.926
Switzerland,CHE,2008,8.03,Europe,0.934
Switzerland,CHE,2009,8.44,Europe,0.942
Switzerland,CHE,2010,8.45,Europe,0.945
Switzerland,CHE,2011,7.91,Europe,0.946
Switzerland,CHE,2012,8.8,Europe,0.949
Switzerland,CHE,2013,9.58,Europe,0.952
Switzerland,CHE,2014,9.11,Europe,0.956
Switzerland,CHE,2015,9.35,Europe,0.957
Switzerland,CHE,2016,8.67,Europe,0.959
Switzerland,CHE,2017,8.13,Europe,0.96
Switzerland,CHE,2018,7.93,Europe,0.962
Switzerland,CHE,2019,7.71,Europe,0.965
Switzerland,CHE,2020,8.62,Europe,0.963
Tajikistan,TJK,2003,31.91,Asia,0.587
Tajikistan,TJK,2007,38.32,Asia,0.625
Tajikistan,TJK,2009,42.2,Asia,0.634
Tanzania,TZA,2001,12.15,Africa,0.422
Tanzania,TZA,2005,9.01,Africa,0.465
Tanzania,TZA,2006,9.01,Africa,0.477
Tanzania,TZA,2010,14.87,Africa,0.513
Tanzania,TZA,2012,10.94,Africa,0.519
Tanzania,TZA,2014,14.93,Africa,0.521
Tanzania,TZA,2020,14.35,Africa,0.554
Thailand,THA,2000,10.44,Asia,0.657
Thailand,THA,2007,10.15,Asia,0.721
Thailand,THA,2009,13.71,Asia,0.725
Thailand,THA,2010,12.52,Asia,0.742
Thailand,THA,2011,12.55,Asia,0.747
Thailand,THA,2012,12.85,Asia,0.75
Thailand,THA,2013,14.37,Asia,0.752
Thailand,THA,2014,13.32,Asia,0.784
Thailand,THA,2015,13.59,Asia,0.788
Thailand,THA,2016,14.97,Asia,0.792
Thailand,THA,2017,15.59,Asia,0.794
Thailand,THA,2018,14.78,Asia,0.796
Thailand,THA,2019,14.88,Asia,0.8
Thailand,THA,2020,15.13,Asia,0.798
Togo,TGO,2006,9.81,Africa,0.465
Togo,TGO,2011,11.23,Africa,0.495
Togo,TGO,2015,17.76,Africa,0.523
Togo,TGO,2017,25.08,Africa,0.534
Tonga,TON,2018,27.92,Oceania,0.759
Trinidad and Tobago,TTO,2013,52.05,North America,0.802
Trinidad and Tobago,TTO,2019,14.61,North America,0.805
Trinidad and Tobago,TTO,2020,17.06,North America,0.8
Tunisia,TUN,2010,25.23,Africa,0.717
Tunisia,TUN,2014,31.5,Africa,0.725
Turkey,TUR,2000,39.65,Asia,0.669
Turkey,TUR,2001,40.43,Asia,0.675
Turkey,TUR,2002,41.14,Asia,0.685
Turkey,TUR,2003,41.4,Asia,0.691
Turkey,TUR,2004,42.56,Asia,0.696
Turkey,TUR,2005,42.56,Asia,0.701
Turkey,TUR,2006,38.55,Asia,0.711
Turkey,TUR,2007,39.22,Asia,0.719
Turkey,TUR,2008,37.02,Asia,0.721
Turkey,TUR,2009,34.94,Asia,0.728
Turkey,TUR,2010,32.29,Asia,0.75
Turkey,TUR,2011,29.56,Asia,0.764
Turkey,TUR,2012,28.72,Asia,0.772
Turkey,TUR,2013,25.53,Asia,0.802
Turkey,TUR,2014,24.79,Asia,0.813
Turkey,TUR,2015,23.89,Asia,0.821
Turkey,TUR,2016,23.95,Asia,0.826
Turkey,TUR,2017,24.18,Asia,0.833
Turkey,TUR,2018,24.41,Asia,0.838
Turkey,TUR,2019,26.02,Asia,0.841
Turkey,TUR,2020,28.32,Asia,0.838
Tuvalu,TUV,2016,34.26,Oceania,0.664
Tuvalu,TUV,2017,45.54,Oceania,0.668
Uganda,UGA,2009,6.95,Africa,0.509
Uganda,UGA,2012,14.53,Africa,0.526
Uganda,UGA,2013,5.91,Africa,0.532
Uganda,UGA,2017,19.2,Africa,0.557
Ukraine,UKR,2014,19.98,Europe,0.788
Ukraine,UKR,2015,17.63,Europe,0.778
Ukraine,UKR,2016,18.26,Europe,0.78
Ukraine,UKR,2017,16.47,Europe,0.785
United Kingdom,GBR,2004,5.45,Europe,0.897
United Kingdom,GBR,2005,8.42,Europe,0.903
United Kingdom,GBR,2006,8.55,Europe,0.902
United Kingdom,GBR,2007,11.9,Europe,0.905
United Kingdom,GBR,2008,12.09,Europe,0.91
United Kingdom,GBR,2009,13.22,Europe,0.915
United Kingdom,GBR,2010,13.62,Europe,0.921
United Kingdom,GBR,2011,14.24,Europe,0.916
United Kingdom,GBR,2012,13.88,Europe,0.917
United Kingdom,GBR,2013,13.24,Europe,0.931
United Kingdom,GBR,2014,11.86,Europe,0.932
United Kingdom,GBR,2015,11.05,Europe,0.931
United Kingdom,GBR,2016,10.89,Europe,0.934
United Kingdom,GBR,2017,10.31,Europe,0.937
United Kingdom,GBR,2018,10.45,Europe,0.936
United Kingdom,GBR,2019,10.52,Europe,0.941
United States,USA,2000,12.39,North America,0.895
United States,USA,2001,12.94,North America,0.897
United States,USA,2002,13.43,North America,0.898
United States,USA,2003,13.61,North America,0.9
United States,USA,2004,13.14,North America,0.905
United States,USA,2005,13.15,North America,0.907
United States,USA,2006,12.46,North America,0.911
United States,USA,2007,12.29,North America,0.914
United States,USA,2008,13.03,North America,0.914
United States,USA,2009,15.03,North America,0.915
United States,USA,2010,15.23,North America,0.919
United States,USA,2011,14.41,North America,0.92
United States,USA,2012,13.91,North America,0.923
United States,USA,2013,14.38,North America,0.925
United States,USA,2014,13.39,North America,0.926
United States,USA,2015,12.44,North America,0.928
United States,USA,2016,12.02,North America,0.929
United States,USA,2017,10.97,North America,0.931
United States,USA,2018,10.92,North America,0.934
United States,USA,2019,10.41,North America,0.936
United States,USA,2020,13.89,North America,0.925
Uruguay,URY,2000,22.99,South America,0.764
Uruguay,URY,2001,21.1,South America,0.771
Uruguay,URY,2002,22.47,South America,0.775
Uruguay,URY,2003,22.01,South America,0.78
Uruguay,URY,2004,19.66,South America,0.779
Uruguay,URY,2005,19.25,South America,0.778
Uruguay,URY,2006,20.55,South America,0.777
Uruguay,URY,2007,19.66,South America,0.78
Uruguay,URY,2008,18.79,South America,0.783
Uruguay,URY,2009,17.85,South America,0.787
Uruguay,URY,2010,18.12,South America,0.796
Uruguay,URY,2011,17.16,South America,0.801
Uruguay,URY,2012,17.73,South America,0.804
Uruguay,URY,2013,18.04,South America,0.812
Uruguay,URY,2014,18.15,South America,0.816
Uruguay,URY,2015,18.73,South America,0.818
Uruguay,URY,2016,18.68,South America,0.821
Uruguay,URY,2017,17.87,South America,0.827
Uruguay,URY,2018,17.95,South America,0.826
Uruguay,URY,2019,17.58,South America,0.83
Vanuatu,VUT,2006,24.24,Oceania,0.567
Vanuatu,VUT,2009,26.33,Oceania,0.579
Vanuatu,VUT,2010,31.85,Oceania,0.582
Vanuatu,VUT,2019,34.5,Oceania,0.622
Vanuatu,VUT,2020,47.53,Oceania,0.617
Venezuela,VEN,2005,25.5,South America,0.728
Venezuela,VEN,2006,24.45,South America,0.736
Venezuela,VEN,2007,23.39,South America,0.753
Venezuela,VEN,2008,23.49,South America,0.759
Venezuela,VEN,2009,20.85,South America,0.76
Venezuela,VEN,2010,18.8,South America,0.764
Venezuela,VEN,2011,18.91,South America,0.77
Venezuela,VEN,2012,19.63,South America,0.772
Venezuela,VEN,2016,20.25,South America,0.761
Venezuela,VEN,2017,22.85,South America,0.749
Venezuela,VEN,2020,37.13,South America,0.699
Vietnam,VNM,2007,10.67,Asia,0.664
Vietnam,VNM,2009,10.27,Asia,0.679
Vietnam,VNM,2010,8.24,Asia,0.686
Vietnam,VNM,2011,8.29,Asia,0.693
Vietnam,VNM,2012,9.84,Asia,0.698
Vietnam,VNM,2013,10.58,Asia,0.704
Vietnam,VNM,2014,10.54,Asia,0.711
Vietnam,VNM,2015,10.99,Asia,0.717
Vietnam,VNM,2016,10.92,Asia,0.723
Vietnam,VNM,2017,11.12,Asia,0.729
Vietnam,VNM,2018,10.09,Asia,0.737
Vietnam,VNM,2019,13.24,Asia,0.744
Vietnam,VNM,2020,14.18,Asia,0.755
Yemen,YEM,2014,44.77,Asia,0.502
Zambia,ZMB,2008,12.94,Africa,0.514
Zambia,ZMB,2017,42.83,Africa,0.57
Zambia,ZMB,2018,32.83,Africa,0.575
Zambia,ZMB,2019,32.54,Africa,0.578
Zambia,ZMB,2020,31.05,Africa,0.578
Zimbabwe,ZWE,2011,17.26,Africa,0.529
Zimbabwe,ZWE,2014,16.56,Africa,0.56
Zimbabwe,ZWE,2019,29.37,Africa,0.584
